geoName,geoCode,value,topic,date
Dothan AL,606,0,Housing,2020-02-17
Jacksonville FL,561,0,Housing,2020-02-17
Macon GA,503,100,Housing,2020-02-17
Savannah GA,507,35,Housing,2020-02-17
Tallahassee FL-Thomasville GA,530,0,Housing,2020-02-17
Albany GA,525,37,Housing,2020-02-18
Atlanta GA,524,56,Housing,2020-02-18
Augusta GA,520,34,Housing,2020-02-18
Chattanooga TN,575,0,Housing,2020-02-18
Columbus GA,522,18,Housing,2020-02-18
Dothan AL,606,0,Housing,2020-02-18
Jacksonville FL,561,0,Housing,2020-02-18
Macon GA,503,100,Housing,2020-02-18
Savannah GA,507,46,Housing,2020-02-18
Tallahassee FL-Thomasville GA,530,44,Housing,2020-02-18
Albany GA,525,0,Housing,2020-02-19
Atlanta GA,524,87,Housing,2020-02-19
Augusta GA,520,29,Housing,2020-02-19
Chattanooga TN,575,0,Housing,2020-02-19
Columbus GA,522,94,Housing,2020-02-19
Dothan AL,606,0,Housing,2020-02-19
Jacksonville FL,561,9,Housing,2020-02-19
Macon GA,503,100,Housing,2020-02-19
Savannah GA,507,57,Housing,2020-02-19
Tallahassee FL-Thomasville GA,530,99,Housing,2020-02-19
Albany GA,525,23,Housing,2020-02-20
Atlanta GA,524,34,Housing,2020-02-20
Augusta GA,520,0,Housing,2020-02-20
Chattanooga TN,575,0,Housing,2020-02-20
Columbus GA,522,12,Housing,2020-02-20
Dothan AL,606,0,Housing,2020-02-20
Jacksonville FL,561,0,Housing,2020-02-20
Macon GA,503,100,Housing,2020-02-20
Savannah GA,507,36,Housing,2020-02-20
Tallahassee FL-Thomasville GA,530,27,Housing,2020-02-20
Albany GA,525,0,Housing,2020-02-21
Atlanta GA,524,56,Housing,2020-02-21
Augusta GA,520,29,Housing,2020-02-21
Chattanooga TN,575,0,Housing,2020-02-21
Columbus GA,522,68,Housing,2020-02-21
Dothan AL,606,0,Housing,2020-02-21
Jacksonville FL,561,0,Housing,2020-02-21
Macon GA,503,100,Housing,2020-02-21
Savannah GA,507,39,Housing,2020-02-21
Tallahassee FL-Thomasville GA,530,0,Housing,2020-02-21
Albany GA,525,59,Housing,2020-02-22
Atlanta GA,524,40,Housing,2020-02-22
Augusta GA,520,52,Housing,2020-02-22
Chattanooga TN,575,0,Housing,2020-02-22
Columbus GA,522,31,Housing,2020-02-22
Dothan AL,606,0,Housing,2020-02-22
Jacksonville FL,561,8,Housing,2020-02-22
Macon GA,503,0,Housing,2020-02-22
Savannah GA,507,35,Housing,2020-02-22
Tallahassee FL-Thomasville GA,530,100,Housing,2020-02-22
Albany GA,525,0,Housing,2020-02-23
Atlanta GA,524,61,Housing,2020-02-23
Augusta GA,520,100,Housing,2020-02-23
Chattanooga TN,575,48,Housing,2020-02-23
Columbus GA,522,0,Housing,2020-02-23
Dothan AL,606,0,Housing,2020-02-23
Jacksonville FL,561,11,Housing,2020-02-23
Macon GA,503,80,Housing,2020-02-23
Savannah GA,507,23,Housing,2020-02-23
Tallahassee FL-Thomasville GA,530,0,Housing,2020-02-23
Albany GA,525,100,Housing,2020-02-24
Atlanta GA,524,44,Housing,2020-02-24
Augusta GA,520,76,Housing,2020-02-24
Chattanooga TN,575,11,Housing,2020-02-24
Columbus GA,522,34,Housing,2020-02-24
Dothan AL,606,0,Housing,2020-02-24
Jacksonville FL,561,0,Housing,2020-02-24
Macon GA,503,54,Housing,2020-02-24
Savannah GA,507,10,Housing,2020-02-24
Tallahassee FL-Thomasville GA,530,13,Housing,2020-02-24
Albany GA,525,68,Housing,2020-02-25
Atlanta GA,524,80,Housing,2020-02-25
Augusta GA,520,100,Housing,2020-02-25
Chattanooga TN,575,23,Housing,2020-02-25
Columbus GA,522,72,Housing,2020-02-25
Dothan AL,606,0,Housing,2020-02-25
Jacksonville FL,561,10,Housing,2020-02-25
Macon GA,503,77,Housing,2020-02-25
Savannah GA,507,21,Housing,2020-02-25
Tallahassee FL-Thomasville GA,530,0,Housing,2020-02-25
Albany GA,525,0,Housing,2020-02-26
Atlanta GA,524,70,Housing,2020-02-26
Augusta GA,520,0,Housing,2020-02-26
Chattanooga TN,575,0,Housing,2020-02-26
Columbus GA,522,33,Housing,2020-02-26
Dothan AL,606,0,Housing,2020-02-26
Jacksonville FL,561,9,Housing,2020-02-26
Macon GA,503,68,Housing,2020-02-26
Savannah GA,507,100,Housing,2020-02-26
Tallahassee FL-Thomasville GA,530,50,Housing,2020-02-26
Albany GA,525,38,Housing,2020-02-27
Atlanta GA,524,29,Housing,2020-02-27
Augusta GA,520,18,Housing,2020-02-27
Chattanooga TN,575,0,Housing,2020-02-27
Columbus GA,522,100,Housing,2020-02-27
Dothan AL,606,0,Housing,2020-02-27
